#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 832000      8.17e-02      1.49e-03      4.57e-03    3.2e-04
 834000      2.56e-01      2.71e-02      1.25e-02    3.2e-04
 836000      2.87e-01      2.10e-02      1.51e-02    3.2e-04
 838000      5.44e-01      1.68e-02      3.03e-02    3.2e-04
 840000      1.50e-01      1.42e-02      7.75e-03    3.0e-04
 842000      5.42e-01      1.60e-03      3.13e-02    3.0e-04
 844000      1.94e-01      2.66e-02      4.32e-03    3.0e-04
 846000      1.76e-01      1.40e-02      8.58e-03    3.0e-04
 848000      5.85e-02      7.77e-03      2.62e-03    3.0e-04
 850000      3.61e-01      3.52e-03      2.08e-02    3.0e-04
 852000      1.31e-01      2.46e-02      3.37e-03    3.0e-04
 854000      2.97e-02      9.93e-05      1.72e-03    3.0e-04
 856000      1.66e-01      1.38e-02      7.98e-03    3.0e-04
 858000      2.64e-01      4.37e-03      1.52e-02    3.0e-04
 860000      3.06e-01      6.42e-03      1.76e-02    3.0e-04
 862000      1.01e-01      1.40e-02      2.16e-03    3.0e-04
 864000      4.74e-01      2.14e-03      2.74e-02    3.0e-04
